Num,WriteT,WriteV,ReadT,ReadV,
1738,41,49951,-804423,-2,
1740,61,33573,86485,23,
1742,42,48761,82980,24,
1744,41,49951,109130,18,
1746,42,48761,73688,27,
1748,129,15875,92041,22,
1750,62,33032,153846,13,
1752,41,49951,75412,27,
1754,100,20480,65413,31,
1756,42,48761,64553,31,
1758,62,33032,-751081,-2,
1760,41,49951,62032,33,
1762,42,48761,73363,27,
1764,42,48761,86160,23,
1766,42,48761,62652,32,
1768,63,32507,102213,20,
1770,42,48761,94162,21,
1772,42,48761,105411,19,
1774,43,47627,85483,23,
1776,42,48761,117854,17,
1778,42,48761,-801044,-2,
1780,42,48761,91292,22,
1782,43,47627,79496,25,
1784,43,47627,99401,20,
1786,64,32000,125337,16,
1788,43,47627,117641,17,
1790,43,47627,63501,32,
1792,43,47627,80991,25,
1794,42,48761,60427,33,
1796,65,31507,89858,22,
1798,43,47627,-796960,-2,
1800,42,48761,116233,17,
1802,42,48761,71038,28,
1804,64,32000,122418,16,
1806,44,46545,88737,23,
1808,43,47627,94446,21,
1810,42,48761,75445,27,
1812,43,47627,74702,27,
1814,64,32000,119230,17,
1816,43,47627,67971,30,
1818,42,48761,-796129,-2,
1820,43,47627,115621,17,
1822,64,32000,169707,12,
1824,44,46545,101538,20,
1826,44,46545,86560,23,
1828,43,47627,117757,17,
1830,44,46545,119613,17,
1832,65,31507,-774108,-2,
1834,44,46545,87880,23,
1836,43,47627,104005,19,
1838,44,46545,93990,21,
1840,65,31507,133357,15,
1842,44,46545,100459,20,
1844,43,47627,73672,27,
1846,45,45511,73236,27,
1848,44,46545,86718,23,
1850,65,31507,134762,15,
1852,44,46545,-839912,-2,
1854,45,45511,104843,19,
1856,45,45511,104403,19,
1858,65,31507,125374,16,
1860,44,46545,66077,30,
1862,44,46545,87279,23,
1864,44,46545,101221,20,
1866,44,46545,65301,31,
1868,67,30567,118935,17,
1870,44,46545,90171,22,
1872,44,46545,87878,23,
1874,44,46545,75635,27,
1876,66,31030,119760,17,
1878,44,46545,89145,22,
1880,45,45511,124385,16,
1882,45,45511,121577,16,
1884,46,44521,65360,31,
1886,66,31030,134205,15,
1888,45,45511,92615,22,
1890,46,44521,-834028,-2,
1892,45,45511,81249,25,
1894,67,30567,145713,14,
1896,44,46545,86466,23,
1898,45,45511,92674,22,
1900,45,45511,88777,23,
1902,45,45511,92500,22,
1904,120,17066,106278,19,
1906,45,45511,66557,30,
1908,45,45511,-801051,-2,
1910,46,44521,66037,31,
1912,67,30567,94237,21,
1914,45,45511,75319,27,
1916,46,44521,122739,16,
1918,45,45511,80481,25,
1920,45,45511,126498,16,
1922,68,30117,113522,18,
1924,45,45511,83800,24,
1926,45,45511,98945,20,
1928,45,45511,-802395,-2,
1930,69,29681,154006,13,
1932,45,45511,126194,16,
1934,46,44521,91361,22,
1936,46,44521,67366,30,
1938,46,44521,106124,19,
1940,68,30117,133320,15,
1942,46,44521,102754,19,
1944,46,44521,-776765,-2,
1946,46,44521,121259,16,
1948,69,29681,122713,16,
1950,46,44521,71003,28,
1952,46,44521,92054,22,
1954,46,44521,112508,18,
1956,45,45511,104696,19,
1958,69,29681,108663,18,
1960,47,43574,97408,21,
1962,46,44521,-778690,-2,
1964,46,44521,69751,29,
1966,69,29681,129617,15,
1968,47,43574,92134,22,
1970,46,44521,96204,21,
1972,46,44521,79965,25,
1974,47,43574,64891,31,
1976,68,30117,142266,14,
1978,46,44521,97740,20,
1980,47,43574,-800230,-2,
1982,46,44521,85468,23,
1984,70,29257,125400,16,
1986,47,43574,129580,15,
1988,47,43574,86380,23,
